Post Office
Jazz Club
Gym,Excercise
Indian Restaurant,Meal
Sandwich Place,Meal
Karaoke Bar,Liquid
Beer Garden, Liquid
Bowling Alley, Entertain
Dive Bar, Liquid
Sports Bar, Liquid
Thai Restaurant, Meal
Seafood Restaurant, Meal
Bar, Liquid
Nightclub, Nightlife
Music Venue, Entertain
Pub, Liquid
Gastropub, Liquid
French Restaurant, Meal
Hotel Bar, Liquid
Sushi Restaurant, Meal
Theater, Entertain
Cuban Restaurant, Meal
Breakfast Spot, Meal
Gay Bar, Nightlife
Music Store, HobbyShop
Strip Club, Nightlife
Cocktail Bar, Liquid
Italian Restaurant, Meal
Rock Club, Entertain
American Restaurant, Meal
Mexican Restaurant, Meal
Thrift / Vintage Store, Shopping
Deli / Bodega, Shopping
Portuguese Restaurant, Meal
Dessert Shop, Snack
Cafe, Cafe
Whisky Bar, Liquid
Asian Restaurant, Meal
New American Restaurant, Meal
Middle Eastern Restaurant, Meal
Lounge, Leisure
Pizza Place, Meal
Steakhouse, Meal
Wine Bar
Salad Place, Meal
Dentist's Office, Medical
Molecular Gastronomy Restaurant, Meal
Office, Work
Diner, Meal
Record Shop, Hobby
Malaysian Restaurant, Meal
Ice Cream Shop, Snak
Grocery Store, Shopping
Eastern European Restaurant, Meal
Restaurant, Meal
Vietnamese Restaurant, Meal
Paella Restaurant, Meal
Southern / Soul Food Restaurant, Meal
Clothing Store, Shopping
Tattoo Parlor, Hobby
Brewery, Liquid
BBQ Joint, Meal
Concert Hall, Entertain
Cajun / Creole Restaurant, Meal
Piano Bar, Liquid
Donut Shop, Snack
Bookstore, Shopping
Burger Joint, Meal
German Restaurant, Meal
Performing Arts Venue, Entertain
Brazilian Restaurant, Meal
Art Gallery, Entertain
Japanese Restaurant, Meal
Latin American Restaurant, Meal
Chinese Restaurant, Meal
Event Space, Entertain
Arts & Crafts Store, Shopping
Bakery, Snack
Indie Movie Theater, Entertain
Afghan Restaurant, Meal
Hot Dog Joint, Snack
Falafel Restaurant, Meal
Dim Sum Restaurant, Meal
Tapas Restaurant, Meal
Greek Restaurant, Meal
Mediterranean Restaurant, Meal
Ramen /  Noodle House, Meal
Hotel, Residence
Hobby Shop, Shopping
Hookah Bar, Liquid
Cupcake Shop, Snack
Sporting Goods Shop, Shopping
Boutique, Shopping
Sake Bar, Liquid
Shoe Store, Shopping
Cheese Shop, Shopping
Bagel Shop, Meal
Comedy Club, Entertain
Burrito Place, Meal
Vegetarian / Vegan Restaurant, Meal
Women's Store, Shopping
Coffee Shop, Cafe
Cosmetics Shop, Shopping
Bike Shop, Shopping
Fish & Chips Shop, Meal
Hostel, Residence
Electronics Store, Shopping
South American Restaurant, Meal
Fast Food Restaurant, Meal
Dumpling Restaurant, Meal
Pool Hall, Entertain
Spanish Restaurant, Meal
Tea Room, Cafe
Other Nightlife, Nightlife
Salon / Barbershop, Hairshop
Convenience Store, Shopping
Argentinian Restaurant, Meal
Hardware Store, Shopping
Bus Station, Station
Art Museum, Entertain
Taco Place, Meal
Wine Shop, Liquid
Food Truck, Snack
Wings Joint, Meal
Arcade, Entertain
Caribbean Restaurant, Meal
Korean Restaurant, Meal
Furniture / Home Store, Shopping
Jewelry Store, Shopping
Harbor / Marina, Leisure
Ethiopian Restaurant, Meal
Speakeasy, Liquid
Ski Chalet, Leisure
Movie Theater, Entertain
Liquor Store, Liquid
Historic Site, Leisure
Park, Leisure
Plaza, Shopping
Baseball Stadium, Leisure
Residential Building (Apartment / Condo), Residence
Gourmet Shop, Shopping
Board Shop, Shopping
Moroccan Restaurant, Meal
Candy Store, Snack
Farmers Market, Shopping
Indonesian Restaurant, Meal
Roof Deck, Leisure
Gym / Fitness Center, Excercise
Resort, Leisure
Ski Area, Leisure
College Academic Building, School
Building, Work
Beach, Leisure
Climbing Gym, Excercise
Toy / Game Store, Shopping
General College & University, School
High School, School
City Hall, Work
Pier, Leisure
Convention Center, Work
Food Court, Meal
Temple, Leisure
Hiking Trail, Excercise
Multiplex, Entertain
Dance Studio, Hobby
African Restaurant, Meal
Monument / Landmark, Leisure
Smoke Shop, Shopping
Gaming Cafe, Entertain
Airport Food Court
School, School
General Entertainment
Bank, Work
Trade School, School
University, School
College Classroom, School
Australian Restaurant, Meal
Swiss Restaurant, Meal
Playground, Entertain
Casino, Entertain
Museum, Entertain
Racetrack, Leisure
College Auditorium, School
Home (private), Residence
Mall, Shopping
Department Store
Stadium, Entertain
Theme Park, Entertain
Juice Bar
Airport, Work
Skate Park, Leisure
Other Great Outdoors, Sightseeing
Arepa Restaurant, Meal
Spa / Massage, Rest
Car Dealership, Shopping
Golf Course, Leisure
Government Building
College Cafeteria, Meal
Winery, Liquid
Neighborhood
Student Center, School
College Residence Hall, Residence
Zoo, Leisure
Science Museum
Train Station,
Lingerie Store. Shopping
Scandinavian Restaurant
Indie Theater, 
Turkish Restaurant, Meal
Lake, Sightseeing
Hockey Arena, Entertain
College Arts Building
General Travel
Food & Drink Shop
Aquarium
Miscellaneous Shop
Church
Garden
Light Rail
Library
Snack Place, Snack
Video Store
Military Base
Ferry, Transportation
Community College, School
Bridge, Other
College Library, School
College Football Field, Other
Sorority House, Residence
College Theater, Leisure
Peruvian Restaurant, Meal
Spiritual Center, Leisure
Antique Shop, Shopping
Boat or Ferry, Transportation
Law School, School
Football Stadium, Entertainment
Airport Terminal
Accessories Store
College Quad, Other
Flea Market, Retail
Pet Store, Shopping
Hospital, Medical
Emergency Room, Medical
Planetarium, Leisure
Coworking Space
Design Studio
Vineyard, Other
Gift Shop, Shopping
Dog Run, Leisure
College Lab, Office
Skating Rink
Opera House, Leisure
Doctor's Office, Medical
Basketball Stadium, Entertain
Medical School, School
Video Game Store
Scenic Lookout
Kids Store
Conference Room
Airport Lounge
Sculpture Garden
Capitol Building
Laundry Service
Ski Lodge
Gas Station / Garage
Pool
Fried Chicken Joint
Auditorium
Elementary School
Subway
Cafeteria
Courthouse
Mac & Cheese Joint
Synagogue
Lighthouse
Nail Salon
Medical Center
Fair
Flower Shop
Internet Cafe
Drugstore / Pharmacy
Automotive Shop
College Bookstore
College Administrative Building
Baseball Field
Campground
Tech Startup
Farm
Car Wash
Parking
College Hockey Rink
History Museum
Yoga Studio
College Engineering Building
Tennis Court
College Stadium
Fraternity House
Meeting Room
College Science Building
Train
Bridal Shop
Optical Shop
Basketball Court
Financial or Legal Service
Paper / Office Supplies Store
Butcher
College Rec Center
Radio Station
Surf Spot
Hotel Pool
Soup Place
Factory
Bus Line
Field
Road
Men's Store
College Baseball Diamond
Camera Store
Non-Profit
College Gym
Fish Market
College Soccer Field
Embassy / Consulate
College Communications Building
Track Stadium
Athletic & Sport
College & University
Filipino Restaurant
Middle School, School
Tanning Salon
Martial Arts Dojo
Rental Car Location
Gym Pool, Excercise
College Technology Building
Public Art
Taxi
Veterinarian
Motel, Residence
Soccer Stadium
Soccer Field
Photography Lab
Cemetery
Gluten-free Restaurant
Bed & Breakfast, Residence
Animal Shelter
Boarding House
Airport Gate
Frozen Yogurt
Hot Spring
Water Park
Garden Center
Music School
Daycare
Police Station
College Math Building
Food
College Basketball Court
Shop & Service
Track
Mongolian Restaurant
College Track
College Tennis Court
Mosque
Pet Service
Airport Tram
Mobile Phone Shop
Professional & Other Places
City
Rest Area
Distillery
Platform
